Rank,Last Year Rank,University,Teaching quality (%),Student experience (%),Research quality (%),Entry standards (Ucas pts),Graduate prospects (%),Firsts/2:1s (%),Completion rate (%),Student-staff ratio,Services/ facilities spend (pounds),Total
69,65,University of Chichester,84,85.3,6.4,310,57.5,69.3,89.9,17.4,1194,534
69,77,University of Huddersfield,82.2,84,9.4,333,74.1,64.1,83,17.8,1551,534
69,64,Robert Gordon University,80.6,83.5,4,385,83.1,67,83.4,19.4,1335,534
72,62,Sheffield Hallam University,80.9,83.9,5.4,319,64.7,65.7,86.9,17.1,1932,529
73,68,University of the West of England,80,82.5,8.8,324,70.8,71.4,84.9,19.5,1931,527
74,71,Liverpool John Moores University,81.6,85,8.9,344,63.3,74.9,84.2,18.4,1332,525
75,76,University of Bradford,78.8,84.4,9.2,314,75.2,74,83.8,17.8,1731,523
76,79,University of Hertfordshire,78.6,82.8,5.6,318,75.3,67,86,17.7,1964,522
77,89,Manchester Metropolitan University,81,82.2,7.5,347,63,69.8,84.4,17.7,1516,520
78,73,Roehampton University,78,79.9,24.5,286,60.9,67.2,81.7,16.8,2207,519
79,93,Aberystwyth University,78.4,80.4,28.1,312,62.5,65.1,89.3,17.8,1386,517
79,,Liverpool Hope University,86.8,86.4,9.2,304,53.9,63.4,82.8,19.4,1667,517
81,59,Arts University Bournemouth,81.4,80,2.4,322,61.4,66.2,92.3,15.3,684,514
82,88,Bournemouth University,75.2,78.8,9,329,66.4,75.5,86,17.4,1831,513
82,56,University of Northampton,82.3,84.1,3.2,283,60.7,64.5,85,20.3,2387,513
84,81,University of Derby,84.4,85.3,2.5,290,60,62.7,83.7,15.4,1540,512
85,75,Middlesex University,78.7,81.8,9.7,270,64.9,61.3,77.8,18.5,2967,500
85,80,Plymouth University,82.3,84.1,15.9,312,60.2,67,84.8,17.5,1424,500
87,67,University of Chester,82.7,83.7,4.1,299,63.6,63.4,80.5,16.4,1714,497
88,83,University of Gloucestershire,79.8,82.6,3.8,317,55.7,72.4,86.3,19.7,1720,496
89,87,York St John University,82.4,83,4.1,292,65.3,65.4,90.4,20.6,1284,494
90,82,University of Brighton,78.6,80.9,7.9,321,66.9,68.2,86.9,17.1,1357,491
91,91,Leeds Trinity University,83.5,82.3,2,284,65.8,68.9,81.7,21.7,1470,487
92,77,University of Central Lancashire,80.4,83.5,5.6,315,62.4,60,81.6,17.1,2052,481
93,97,Edinburgh Napier University,80.2,83.7,4.6,347,69.1,71.4,81.2,20.3,1155,478
94,84,Glasgow Caledonian University,77,82.5,7,372,70.2,70.1,83.2,21.2,1545,477
95,101,Staffordshire University,81.8,82.8,16.5,274,58.4,63.2,78.4,16.8,1620,475
96,86,Queen Margaret University Edinburgh,78.9,82.3,6.6,341,59.6,74.2,82.4,19.1,1336,474
97,106,Abertay University,80,83.1,5.1,338,65.6,70.4,75.5,21.4,1563,466
98,105,University of Salford,80.1,80.9,8.3,334,59.5,65.2,79.5,17,1646,465
99,85,University of the Arts London,75.9,74.5,8,320,59.2,61.8,85.5,15.1,1711,464
100,100,"St Mary's University, Twickenham",80.5,84.8,4,289,66.7,63.8,83.7,20.6,1069,463
100,107,University of Worcester,81.4,84.5,4.3,301,63.9,61.9,85.8,19,1062,463
102,94,Teesside University,82.9,84.3,3.6,306,59.8,59.3,80.8,17.7,1676,456
103,90,Cardiff Metropolitan University,79.1,81.8,3.9,317,59.8,60.6,82.2,19,1712,454
104,99,University of Sunderland,82.5,84.2,5.8,294,62.3,49.5,81.4,19.6,1484,446
105,91,Birmingham City University,78,79.3,4.3,300,64.8,67.3,84.4,20.4,1693,444
106,98,University of Greenwich,79.2,82.4,4.9,315,58.2,62.9,84.7,19.6,1479,443
107,96,Canterbury Christ Church University,80.7,81.9,4.5,279,57.8,66.5,82.3,18.4,1212,438
108,110,Anglia Ruskin University,82.5,83.9,5.4,254,65,58.4,79.3,19,1419,428
109,116,Buckinghamshire New University,81.5,81.1,1.5,257,57.6,57,82.5,21.8,1997,421
110,108,University of Bedfordshire,80.4,82.7,7,229,58.3,56.6,80.1,18.3,1721,419
